año,mes,total,ushuaia,almanza
2001,Agosto,6707.1,6700.4,6.7
2001,Septiembre,2904.7,2900.3,4.4
2001,Octubre,5187.3,5183.8,3.5
2001,Noviembre,12730.4,12730.4,0
2001,Diciembre,7384.6,7384.6,0
2002,Enero,1695.8,1694.6,1.2
2002,Febrero,925.3,924.3,1
2002,Marzo,5350.1,5348.7,1.4
2002,Abril,14677.9,14677,0.9
2002,Mayo,12370.3,12368.5,1.8
2002,Junio ,12974.6,12972.1,2.5
2002,Julio,4194.3,4193.6,0.7
2002,Agosto,9087.1,9086.9,0.2
2002,Septiembre,2704.6,2704.3,0.3
2002,Octubre,15877.7,15877.5,0.2
2002,Noviembre,8471.8,8471.8,0
2002,Diciembre,9104.6,9104.6,0
2003,Enero,2134.3,2134.2,0.1
2003,Febrero,3169.4,3168.8,0.6
2003,Marzo,8742.5,8741.9,0.6
2003,Abril,11734.1,11734.1,0
2003,Mayo,9796.2,9796.2,0
2003,Junio ,12493.1,12493.1,0
2003,Julio,11981.8,11981.8,0
2003,Agosto,2674,2674,0
2003,Septiembre,6747.5,6747.5,0
2003,Octubre,3858.8,3858.8,0
2003,Noviembre,13999.8,13999.8,0
2003,Diciembre,10352.9,10352.9,0
2004,Enero,1962,1962,0
2004,Febrero,7055.4,7055.4,0
2004,Marzo,13126.1,13126.1,0
2004,Abril,12953.7,12953.7,0
2004,Mayo,18168.6,18168.6,0
2004,Junio ,10538.6,10538.6,0
2004,Julio,12987.4,12987.4,0
2004,Agosto,11880.2,11880.2,0
2004,Septiembre,2564.8,2564.8,0
2004,Octubre,4834.4,4834.4,0
2004,Noviembre,16678.6,16678.6,0
2004,Diciembre,15455.4,15455.4,0
2005,Enero,2463.2,2463.2,0
2005,Febrero,6063.4,6063.4,0
2005,Marzo,8397.3,8397.3,0
2005,Abril,9115.6,9115.6,0
2005,Mayo,15516.2,15516.2,0
2005,Junio ,9516.7,9516.7,0
2005,Julio,7237.4,7237.4,0
2005,Agosto,9683.2,9683.2,0
2005,Septiembre,1073,1073,0
2005,Octubre,33.1,33.1,0
2005,Noviembre,5262.8,5262.8,0
2005,Diciembre,16110.8,16110.8,0
2006,Enero,1643,1643,0
2006,Febrero,6571.3,6571.3,0
2006,Marzo,12756,12756,0
2006,Abril,2171.5,2171.5,0
2006,Mayo,19528.7,19528.7,0
2006,Junio ,12812.8,12812.8,0
2006,Julio,7390,7390,0
2006,Agosto,7465.4,7465.4,0
2006,Septiembre,4363.6,4363.6,0
2006,Octubre,14107,14103.5,3.5
2006,Noviembre,2832.3,2832.3,0
2006,Diciembre,11968.9,11968.9,0
2007,Enero,3617.4,3617.4,0
2007,Febrero,3798.6,3798.6,0
2007,Marzo,10682.9,10682.5,0.4
2007,Abril,6323.4,6323.4,0
2007,Mayo,16696.8,16696.8,0
2007,Junio ,13040.1,13040.1,0
2007,Julio,7695.8,7695.8,0
2007,Agosto,0,0,0
2007,Septiembre,2057.2,2057.2,0
2007,Octubre,364.5,364.5,0
2007,Noviembre,5896.5,5896.5,0
2007,Diciembre,9485.6,9485.6,0
2008,Enero,661.2,661.2,0
2008,Febrero,3842.1,3842.1,0
2008,Marzo,7310.6,7310.6,0
2008,Abril,7430.6,7430.6,0
2008,Mayo,17691.8,17691.8,0
2008,Junio ,17813.2,17813.2,0
